age,job,marital,education,default,housing,contact,month,duration
48,admin.,divorced,high.school,no,yes,cellular,nov,309
35,admin.,single,high.school,no,yes,cellular,may,200
27,admin.,single,university.degree,no,no,cellular,may,409
25,admin.,single,high.school,no,yes,cellular,jul,103
42,technician,married,professional.course,no,yes,cellular,may,50
47,admin.,divorced,university.degree,no,yes,telephone,may,208
49,entrepreneur,married,university.degree,no,yes,cellular,nov,13
36,admin.,single,basic.9y,no,yes,cellular,may,458
35,technician,married,professional.course,no,no,telephone,jun,200
29,blue-collar,married,basic.4y,no,yes,cellular,nov,127
45,technician,married,professional.course,unknown,no,telephone,jun,124
53,blue-collar,married,basic.6y,no,yes,telephone,may,95
41,admin.,married,university.degree,no,no,cellular,aug,114
50,management,married,high.school,unknown,no,telephone,jun,65
31,management,married,basic.9y,no,no,telephone,may,161
46,services,married,high.school,no,no,cellular,may,174
36,blue-collar,married,high.school,unknown,no,telephone,may,713
43,blue-collar,single,professional.course,no,no,telephone,jun,133
48,entrepreneur,married,basic.9y,unknown,yes,telephone,may,201
31,services,married,high.school,no,unknown,cellular,may,215
21,services,single,high.school,no,yes,cellular,apr,820
56,services,married,high.school,unknown,no,cellular,may,310
54,management,married,basic.6y,no,no,telephone,jun,255
44,services,married,high.school,unknown,no,cellular,nov,43
31,unemployed,married,university.degree,no,no,cellular,aug,91
50,admin.,married,university.degree,no,no,cellular,aug,587
48,admin.,married,university.degree,no,yes,cellular,aug,288
26,self-employed,single,university.degree,no,yes,cellular,jun,181
37,services,single,basic.9y,no,yes,telephone,may,320
37,unemployed,unknown,university.degree,no,no,cellular,jun,100
50,services,married,unknown,unknown,no,telephone,may,144
47,admin.,married,university.degree,no,yes,cellular,aug,653
41,blue-collar,single,basic.9y,no,no,cellular,may,128
32,blue-collar,single,basic.9y,no,yes,telephone,jun,22
38,services,married,basic.9y,no,no,telephone,jun,177
48,technician,married,professional.course,no,no,cellular,jul,288
46,blue-collar,married,basic.4y,unknown,yes,telephone,may,566
48,self-employed,married,basic.9y,unknown,yes,telephone,may,318
38,unknown,divorced,high.school,unknown,yes,telephone,may,107
38,admin.,married,university.degree,no,yes,cellular,aug,748
55,retired,married,basic.4y,unknown,no,cellular,jul,599
27,admin.,married,high.school,no,yes,cellular,jul,101
28,services,married,high.school,no,yes,cellular,nov,223
29,blue-collar,single,basic.9y,no,no,telephone,jun,411
47,services,divorced,basic.4y,no,no,cellular,jul,149
34,student,single,basic.4y,unknown,yes,telephone,may,1185
51,services,divorced,high.school,unknown,no,cellular,may,398
40,admin.,divorced,university.degree,no,yes,cellular,aug,65
38,admin.,married,high.school,no,yes,telephone,jun,169
42,blue-collar,married,basic.4y,no,no,cellular,may,212
30,unemployed,single,university.degree,no,yes,cellular,jul,266
36,services,married,high.school,unknown,no,telephone,may,427
33,admin.,single,high.school,no,no,telephone,jun,113
47,management,married,university.degree,no,no,cellular,apr,51
33,admin.,married,university.degree,no,yes,cellular,sep,272
30,services,single,basic.9y,no,yes,cellular,jul,22
54,admin.,married,high.school,no,no,telephone,may,66
47,admin.,married,basic.9y,no,no,cellular,nov,164
32,technician,single,university.degree,no,yes,cellular,nov,58
32,blue-collar,married,basic.9y,no,yes,cellular,may,297
38,self-employed,married,basic.9y,no,yes,telephone,may,26
38,technician,single,high.school,no,no,cellular,aug,74
38,unknown,married,unknown,no,yes,cellular,aug,27
53,blue-collar,married,high.school,no,yes,cellular,jul,118
26,unemployed,single,basic.9y,no,yes,telephone,may,112
27,blue-collar,married,basic.9y,no,unknown,telephone,may,169
38,admin.,single,university.degree,no,no,cellular,jun,103
41,services,married,high.school,unknown,yes,telephone,may,679
39,self-employed,divorced,high.school,no,no,cellular,sep,261
48,admin.,divorced,high.school,no,no,telephone,jul,352
32,blue-collar,married,basic.6y,no,yes,telephone,jun,16
35,blue-collar,married,basic.6y,no,no,telephone,may,39
51,blue-collar,married,basic.9y,unknown,yes,cellular,aug,107
35,admin.,single,university.degree,no,yes,cellular,may,8
60,blue-collar,married,basic.4y,unknown,yes,cellular,apr,18
28,admin.,single,university.degree,no,no,cellular,jul,94
52,management,married,high.school,no,yes,cellular,aug,167
35,blue-collar,married,basic.9y,no,no,telephone,jun,497
27,admin.,single,university.degree,no,no,cellular,may,134
34,technician,married,high.school,no,no,cellular,jul,481
36,blue-collar,married,basic.4y,no,no,cellular,nov,217
28,blue-collar,married,basic.9y,unknown,no,telephone,may,140
32,admin.,married,university.degree,no,yes,telephone,may,175
49,blue-collar,divorced,basic.6y,unknown,no,cellular,jul,1065
55,admin.,married,basic.9y,no,yes,cellular,nov,430
50,technician,married,high.school,no,yes,cellular,dec,229
37,admin.,single,university.degree,no,no,cellular,may,51
35,blue-collar,divorced,basic.9y,no,unknown,telephone,jun,276
58,unknown,married,basic.9y,no,yes,cellular,dec,154
32,entrepreneur,married,university.degree,no,no,cellular,aug,95
35,retired,single,basic.9y,unknown,yes,telephone,may,145
35,technician,single,professional.course,no,yes,cellular,may,213
26,admin.,single,high.school,unknown,no,cellular,may,136
47,blue-collar,married,professional.course,no,yes,cellular,apr,225
29,blue-collar,single,basic.9y,no,no,cellular,may,68
37,entrepreneur,single,basic.9y,no,yes,cellular,may,222
32,technician,single,high.school,no,no,telephone,jul,239
46,services,married,high.school,no,yes,cellular,jul,181
36,services,married,high.school,no,no,telephone,may,166
35,admin.,married,university.degree,no,no,cellular,jun,121
31,self-employed,married,university.degree,no,yes,cellular,jul,242
29,admin.,single,university.degree,no,no,cellular,aug,716
46,housemaid,married,basic.4y,unknown,no,cellular,jul,550
85,housemaid,divorced,basic.4y,unknown,yes,telephone,oct,181
29,technician,single,basic.9y,no,no,cellular,may,20
31,management,single,university.degree,no,yes,cellular,may,165
34,blue-collar,married,basic.4y,no,yes,cellular,jul,54
29,technician,single,professional.course,no,yes,cellular,nov,215
46,admin.,single,university.degree,no,yes,cellular,jul,62
29,blue-collar,divorced,high.school,no,no,cellular,may,760
54,blue-collar,single,basic.4y,no,no,telephone,may,253
26,management,single,university.degree,no,yes,cellular,nov,112
27,admin.,married,professional.course,no,yes,cellular,may,143
57,management,married,basic.4y,unknown,yes,cellular,may,10
32,technician,single,university.degree,no,yes,cellular,aug,158
35,services,married,high.school,no,yes,telephone,may,87
32,blue-collar,single,high.school,no,unknown,cellular,nov,77
59,retired,married,basic.9y,no,no,cellular,jul,551
29,blue-collar,married,basic.9y,no,yes,cellular,may,193
37,admin.,married,high.school,no,no,telephone,may,155
40,admin.,married,high.school,unknown,no,telephone,jun,675
55,admin.,married,professional.course,no,yes,cellular,aug,482
33,housemaid,single,university.degree,unknown,yes,cellular,aug,46
36,admin.,single,high.school,no,no,cellular,apr,193
59,admin.,married,high.school,no,no,telephone,jun,204
34,blue-collar,single,basic.9y,no,no,cellular,may,484
30,self-employed,married,professional.course,no,no,cellular,may,34
29,admin.,married,high.school,no,no,cellular,jul,48
34,blue-collar,single,basic.9y,no,no,cellular,may,281
47,blue-collar,single,basic.4y,unknown,yes,telephone,may,162
41,entrepreneur,married,basic.4y,no,yes,telephone,jul,89
30,admin.,single,university.degree,no,yes,cellular,jun,107
33,admin.,married,high.school,unknown,yes,cellular,aug,68
33,unemployed,single,unknown,no,no,cellular,jul,211
33,services,married,high.school,no,unknown,cellular,may,333
59,retired,married,basic.4y,no,yes,cellular,aug,265
29,services,married,basic.9y,no,yes,telephone,may,94
36,admin.,married,high.school,no,no,telephone,may,369
41,admin.,single,unknown,unknown,yes,cellular,apr,464
55,technician,married,basic.9y,unknown,no,telephone,jun,362
39,entrepreneur,married,professional.course,no,yes,cellular,nov,997
48,services,married,basic.6y,no,no,cellular,jul,69
56,admin.,married,university.degree,no,yes,cellular,jul,177
63,technician,married,unknown,no,yes,cellular,aug,173
50,self-employed,married,basic.9y,unknown,no,cellular,may,287
42,blue-collar,married,basic.6y,unknown,yes,telephone,may,454
43,unemployed,married,university.degree,unknown,no,telephone,jun,114
32,admin.,married,university.degree,no,yes,cellular,nov,51
28,blue-collar,single,basic.9y,no,no,cellular,apr,218
26,blue-collar,married,professional.course,no,yes,cellular,may,649
24,admin.,single,high.school,unknown,yes,cellular,jul,470
38,blue-collar,divorced,unknown,no,no,telephone,jun,278
30,services,married,high.school,unknown,yes,cellular,nov,175
29,blue-collar,single,basic.4y,no,yes,cellular,may,13
56,management,married,university.degree,no,no,cellular,jul,442
36,blue-collar,single,basic.9y,no,yes,telephone,jun,762
33,admin.,married,high.school,unknown,yes,cellular,jul,88
47,services,married,unknown,no,no,telephone,may,262
50,housemaid,married,basic.4y,unknown,no,telephone,may,287
41,services,married,basic.9y,no,no,telephone,may,335
54,entrepreneur,divorced,unknown,no,no,cellular,apr,461
32,blue-collar,married,basic.9y,no,unknown,telephone,apr,108
38,admin.,single,university.degree,no,no,telephone,may,189
34,management,single,high.school,no,yes,cellular,nov,201
34,blue-collar,married,basic.9y,no,no,cellular,may,192
55,admin.,married,unknown,no,yes,cellular,nov,591
31,self-employed,married,university.degree,no,no,cellular,aug,201
43,technician,married,professional.course,no,yes,telephone,may,225
59,unemployed,married,basic.4y,unknown,yes,cellular,jul,458
53,technician,married,university.degree,no,unknown,cellular,apr,758
56,unemployed,married,professional.course,no,no,cellular,sep,1551
32,entrepreneur,married,basic.9y,unknown,yes,telephone,jul,258
36,blue-collar,married,basic.9y,unknown,yes,cellular,jul,159
42,blue-collar,married,basic.9y,no,no,telephone,may,92
29,admin.,married,university.degree,no,yes,cellular,aug,209
33,services,married,high.school,unknown,no,cellular,nov,117
56,technician,married,unknown,no,no,telephone,jun,49
31,entrepreneur,divorced,high.school,no,yes,telephone,may,168
34,management,married,high.school,no,yes,cellular,nov,228
33,blue-collar,married,basic.4y,no,yes,telephone,jun,78
23,housemaid,single,basic.4y,no,no,cellular,may,9
26,services,single,high.school,unknown,yes,telephone,jul,11
55,management,married,university.degree,no,no,cellular,aug,106
47,services,divorced,basic.4y,no,yes,telephone,jun,60
36,blue-collar,married,professional.course,unknown,yes,telephone,jun,324
33,blue-collar,married,basic.6y,unknown,yes,telephone,may,369
60,retired,married,basic.4y,unknown,yes,telephone,may,557
49,entrepreneur,married,university.degree,no,yes,telephone,may,142
35,admin.,married,high.school,unknown,unknown,telephone,may,35
47,admin.,divorced,high.school,no,no,cellular,jul,480
30,blue-collar,single,basic.9y,no,no,telephone,may,207
27,blue-collar,single,basic.9y,no,no,telephone,jun,869
36,admin.,single,high.school,no,no,cellular,jul,259
46,services,divorced,high.school,no,no,cellular,may,222
30,entrepreneur,divorced,basic.6y,no,no,cellular,may,149
88,retired,divorced,basic.4y,no,yes,cellular,mar,82
45,services,divorced,high.school,unknown,no,telephone,may,166
30,admin.,married,university.degree,no,yes,cellular,apr,82
43,technician,single,basic.9y,no,yes,telephone,jun,461
48,retired,married,basic.4y,unknown,yes,telephone,jul,27
56,unemployed,divorced,university.degree,unknown,yes,telephone,may,98
42,technician,single,high.school,unknown,yes,telephone,may,617
30,technician,single,university.degree,no,yes,cellular,jul,63
56,housemaid,divorced,basic.4y,unknown,yes,telephone,jun,77
35,technician,married,high.school,no,unknown,cellular,aug,61
39,services,single,high.school,unknown,no,telephone,may,206
49,unemployed,married,high.school,no,yes,telephone,may,96
30,admin.,married,university.degree,no,yes,cellular,may,129
39,admin.,married,university.degree,no,no,telephone,jun,979
32,technician,single,university.degree,no,yes,telephone,jul,119
59,admin.,divorced,high.school,unknown,no,cellular,jul,630
38,technician,married,high.school,no,unknown,cellular,aug,234
49,technician,married,professional.course,no,yes,cellular,jul,354
28,admin.,married,high.school,no,unknown,cellular,jul,502
39,technician,married,high.school,no,yes,cellular,may,451
37,blue-collar,married,basic.6y,no,unknown,cellular,oct,93
51,services,married,basic.9y,no,yes,telephone,jun,250
31,blue-collar,married,basic.4y,unknown,no,telephone,may,241
59,technician,divorced,basic.9y,no,yes,cellular,jul,142
46,admin.,divorced,university.degree,no,yes,telephone,may,304
36,blue-collar,married,basic.9y,unknown,no,telephone,may,296
28,management,single,university.degree,no,no,telephone,jun,651
31,admin.,married,university.degree,no,yes,telephone,may,102
26,services,single,high.school,no,yes,telephone,may,188
36,blue-collar,single,basic.9y,unknown,yes,cellular,jul,221
50,entrepreneur,married,university.degree,no,yes,cellular,nov,57
41,unemployed,married,basic.9y,no,yes,cellular,apr,263
50,self-employed,married,professional.course,no,no,cellular,jul,73
32,blue-collar,single,high.school,no,no,cellular,may,204
56,self-employed,married,university.degree,no,no,cellular,apr,83
42,admin.,married,high.school,no,yes,cellular,may,111
38,technician,married,professional.course,unknown,no,telephone,may,407
36,admin.,single,university.degree,no,no,telephone,may,12
45,blue-collar,married,basic.6y,no,yes,telephone,jun,134
52,retired,married,basic.4y,unknown,unknown,cellular,jul,143
55,technician,married,university.degree,no,no,telephone,jun,126
38,self-employed,single,university.degree,no,no,telephone,may,238
71,retired,married,basic.4y,no,yes,cellular,oct,120
22,services,single,basic.4y,no,no,telephone,may,91
30,admin.,single,university.degree,no,no,cellular,nov,331
78,retired,married,high.school,no,yes,cellular,may,754
30,admin.,divorced,university.degree,no,yes,cellular,nov,589
51,blue-collar,married,basic.6y,no,yes,cellular,apr,89
35,management,divorced,university.degree,no,unknown,cellular,aug,123
26,student,single,unknown,no,yes,cellular,nov,92
34,services,married,high.school,no,no,telephone,jun,9
49,management,married,university.degree,no,yes,cellular,aug,87
50,blue-collar,divorced,basic.4y,no,no,cellular,jul,150
51,entrepreneur,married,university.degree,no,no,telephone,may,98
57,retired,married,university.degree,no,yes,cellular,aug,187
33,admin.,divorced,university.degree,no,yes,cellular,nov,76
35,admin.,married,university.degree,no,no,telephone,may,41
37,admin.,single,high.school,no,no,cellular,jul,609
39,admin.,single,university.degree,no,yes,cellular,nov,514
39,services,married,high.school,no,no,telephone,may,919
20,student,single,high.school,no,no,cellular,nov,187
55,blue-collar,married,professional.course,unknown,yes,telephone,may,530
27,student,single,professional.course,no,no,telephone,nov,72
33,admin.,married,high.school,no,no,cellular,jul,595
24,blue-collar,married,basic.9y,unknown,yes,telephone,may,226
39,management,married,university.degree,no,no,cellular,aug,168
55,blue-collar,married,basic.9y,no,yes,cellular,aug,142
35,unknown,married,basic.9y,no,no,telephone,may,108
55,retired,divorced,basic.4y,unknown,no,cellular,may,526
42,self-employed,married,high.school,no,no,telephone,may,83
50,self-employed,divorced,university.degree,no,no,cellular,nov,59
39,management,married,university.degree,no,yes,cellular,may,53
40,services,single,high.school,no,no,cellular,may,197
51,services,single,high.school,unknown,no,telephone,jun,329
59,retired,unknown,university.degree,unknown,no,telephone,may,253
54,technician,married,high.school,no,no,cellular,apr,58
42,management,married,university.degree,unknown,yes,cellular,aug,109
33,technician,divorced,professional.course,no,yes,cellular,aug,679
26,admin.,single,basic.4y,no,yes,telephone,jun,68
27,management,married,university.degree,no,no,cellular,apr,54
30,technician,single,high.school,no,yes,cellular,aug,230
42,self-employed,married,high.school,unknown,yes,cellular,nov,77
53,unemployed,married,university.degree,no,unknown,cellular,nov,126
36,management,married,university.degree,no,unknown,cellular,sep,331
29,management,single,university.degree,no,yes,cellular,aug,139
45,services,married,professional.course,no,unknown,cellular,aug,133
35,services,single,basic.9y,no,no,cellular,jul,102
33,blue-collar,married,high.school,unknown,yes,cellular,mar,494
38,admin.,married,university.degree,no,yes,cellular,aug,19
29,blue-collar,married,basic.6y,no,no,telephone,may,168
32,admin.,married,high.school,no,yes,telephone,apr,24
34,technician,married,professional.course,no,unknown,cellular,may,35
36,blue-collar,married,high.school,no,yes,cellular,dec,234
51,management,married,university.degree,no,no,telephone,jun,16
34,blue-collar,married,basic.4y,no,no,telephone,may,23
50,technician,married,university.degree,no,yes,cellular,sep,1353
54,blue-collar,married,basic.4y,unknown,no,cellular,aug,65
53,management,married,university.degree,no,no,cellular,aug,88
52,blue-collar,married,high.school,no,no,cellular,may,57
71,retired,married,high.school,no,no,cellular,sep,363
52,retired,married,university.degree,no,yes,telephone,nov,215
53,technician,married,professional.course,no,no,telephone,may,332
36,admin.,single,university.degree,no,yes,cellular,nov,287
43,admin.,married,high.school,no,yes,telephone,may,67
31,technician,single,professional.course,no,no,cellular,aug,122
58,admin.,single,university.degree,no,no,telephone,may,1234
46,technician,married,university.degree,no,no,cellular,jul,124
38,blue-collar,married,basic.6y,unknown,no,cellular,jul,456
34,admin.,married,university.degree,no,no,cellular,may,329
37,services,married,high.school,unknown,yes,telephone,may,58
40,self-employed,single,university.degree,no,no,cellular,jun,54
42,blue-collar,divorced,high.school,no,no,telephone,jun,256
40,technician,single,high.school,no,no,cellular,aug,85
27,unemployed,married,high.school,no,yes,telephone,jun,23
57,unknown,married,unknown,unknown,yes,telephone,may,48
45,services,married,high.school,unknown,yes,cellular,apr,79
46,admin.,divorced,university.degree,no,yes,cellular,nov,184
47,admin.,married,university.degree,no,yes,cellular,jul,129
56,retired,married,basic.4y,unknown,no,cellular,aug,687
32,entrepreneur,married,high.school,no,yes,telephone,may,314
54,services,married,unknown,no,no,telephone,may,192
58,services,married,high.school,no,no,cellular,aug,155
30,admin.,married,university.degree,no,yes,cellular,aug,123
39,blue-collar,married,basic.6y,unknown,no,cellular,jul,122
41,services,married,high.school,unknown,yes,cellular,nov,255
32,admin.,married,university.degree,no,yes,cellular,aug,428
32,services,married,high.school,no,no,telephone,may,181
29,management,single,university.degree,no,yes,telephone,may,207
43,management,divorced,high.school,no,yes,cellular,nov,488
41,services,divorced,basic.9y,no,yes,telephone,may,189
30,admin.,married,university.degree,no,yes,telephone,may,355
28,services,married,high.school,no,unknown,cellular,jul,81
35,admin.,single,high.school,no,yes,cellular,nov,106
44,blue-collar,married,basic.6y,no,yes,telephone,sep,10
25,blue-collar,married,high.school,unknown,yes,cellular,jul,94
47,blue-collar,married,basic.9y,unknown,yes,cellular,aug,118
32,unemployed,married,professional.course,no,yes,telephone,nov,486
26,student,single,high.school,no,no,cellular,jul,235
35,admin.,single,university.degree,no,yes,cellular,jul,167
34,blue-collar,married,basic.9y,no,no,telephone,jun,206
57,management,divorced,university.degree,no,yes,telephone,may,236
38,blue-collar,single,basic.6y,unknown,no,cellular,may,42
33,admin.,single,high.school,no,yes,cellular,oct,61
32,admin.,married,high.school,no,no,cellular,nov,219
47,blue-collar,married,basic.4y,unknown,yes,cellular,jul,114
34,blue-collar,single,basic.6y,no,no,cellular,may,204
36,admin.,single,high.school,no,yes,cellular,apr,413
28,technician,single,professional.course,no,yes,cellular,may,77
72,retired,divorced,university.degree,no,no,cellular,aug,270
27,services,single,basic.9y,no,yes,cellular,jul,88
43,admin.,divorced,high.school,no,yes,cellular,may,892
39,entrepreneur,single,university.degree,no,yes,cellular,may,452
27,admin.,single,university.degree,no,no,cellular,mar,238
35,admin.,single,university.degree,no,yes,cellular,may,614
34,technician,married,professional.course,no,no,cellular,aug,123
36,services,married,high.school,unknown,yes,telephone,jun,57
39,technician,married,high.school,no,no,cellular,nov,749
35,management,divorced,high.school,no,yes,telephone,jun,176
56,retired,married,basic.4y,no,no,cellular,nov,130
31,admin.,single,university.degree,no,yes,cellular,jul,1327
31,services,single,high.school,no,yes,cellular,may,28
45,admin.,single,university.degree,no,no,cellular,nov,27
20,student,single,unknown,no,yes,cellular,apr,47
42,blue-collar,divorced,basic.9y,no,no,cellular,jul,111
39,admin.,married,university.degree,no,no,cellular,may,272
45,blue-collar,married,basic.4y,unknown,no,telephone,jun,65
50,services,married,high.school,no,yes,cellular,aug,54
29,admin.,single,university.degree,no,no,telephone,jun,641
38,unknown,married,unknown,unknown,no,telephone,may,362
34,entrepreneur,married,basic.4y,no,yes,telephone,may,474
36,admin.,married,university.degree,no,no,cellular,jul,61
35,admin.,single,university.degree,no,no,telephone,may,234
41,technician,married,professional.course,unknown,no,telephone,may,677
42,admin.,single,university.degree,no,yes,telephone,may,87
39,technician,married,professional.course,no,yes,cellular,aug,247
34,blue-collar,married,basic.6y,unknown,no,telephone,jul,164
52,admin.,married,high.school,no,no,telephone,may,643
47,admin.,divorced,university.degree,no,yes,telephone,jun,2653
59,management,married,university.degree,no,no,cellular,dec,112
37,services,married,high.school,no,no,cellular,apr,175
33,management,married,university.degree,no,yes,cellular,may,85
35,blue-collar,married,basic.9y,unknown,yes,telephone,jun,288
33,admin.,married,high.school,no,yes,telephone,may,67
40,technician,single,university.degree,no,yes,cellular,nov,44
39,admin.,married,university.degree,unknown,no,telephone,may,302
32,technician,married,university.degree,no,yes,cellular,nov,77
29,technician,single,high.school,no,yes,cellular,aug,130
32,admin.,single,high.school,no,no,cellular,apr,1143
35,admin.,divorced,university.degree,no,yes,telephone,may,221
36,admin.,married,university.degree,no,yes,cellular,jul,570
38,blue-collar,married,basic.4y,no,no,cellular,apr,239
32,admin.,married,university.degree,no,yes,telephone,aug,66
32,admin.,single,university.degree,no,no,cellular,aug,200
34,self-employed,single,high.school,no,yes,cellular,nov,581
42,admin.,single,university.degree,no,yes,telephone,may,938
28,technician,single,basic.9y,no,no,cellular,may,223
53,technician,married,professional.course,no,no,telephone,may,260
27,services,single,basic.9y,no,no,telephone,may,93
43,entrepreneur,married,professional.course,no,yes,cellular,may,114
51,unemployed,married,professional.course,unknown,yes,cellular,jul,901
35,blue-collar,single,basic.6y,no,no,telephone,jun,81
42,admin.,married,university.degree,no,yes,cellular,aug,168
36,technician,single,professional.course,no,no,telephone,may,114
35,blue-collar,divorced,basic.9y,no,no,telephone,jun,138
38,services,married,basic.9y,no,no,telephone,jun,31
45,blue-collar,married,basic.6y,unknown,no,telephone,jun,272
24,blue-collar,single,basic.9y,no,yes,cellular,jul,590
30,technician,married,university.degree,unknown,yes,cellular,jul,231
31,entrepreneur,divorced,basic.4y,no,no,cellular,nov,152
30,management,married,university.degree,no,yes,cellular,jul,217
68,retired,married,university.degree,no,yes,cellular,jul,546
50,blue-collar,married,basic.6y,unknown,no,cellular,aug,137
32,unemployed,married,university.degree,no,yes,cellular,aug,85
55,services,married,high.school,no,no,cellular,jul,371
31,admin.,married,high.school,unknown,yes,telephone,jun,135
55,services,married,basic.4y,no,no,cellular,aug,64
37,admin.,married,high.school,no,unknown,cellular,jul,56
41,blue-collar,single,basic.4y,no,unknown,cellular,jul,107
34,self-employed,single,university.degree,no,yes,cellular,may,102
33,blue-collar,married,basic.9y,no,no,cellular,may,728
42,services,married,high.school,no,no,cellular,may,312
56,admin.,married,university.degree,no,no,telephone,jul,55
46,entrepreneur,married,basic.9y,no,no,telephone,jun,245
42,admin.,single,high.school,no,no,cellular,jul,163
33,admin.,divorced,university.degree,no,yes,cellular,nov,214
53,technician,married,professional.course,unknown,yes,telephone,may,264
43,self-employed,married,basic.4y,no,no,cellular,nov,206
52,services,married,basic.6y,no,no,cellular,jul,161
40,technician,single,unknown,no,yes,telephone,jul,145
49,housemaid,single,university.degree,no,no,cellular,dec,334
41,admin.,married,university.degree,no,yes,cellular,aug,47
26,blue-collar,single,basic.4y,no,yes,cellular,jul,215
39,blue-collar,divorced,basic.9y,unknown,no,telephone,may,304
33,blue-collar,married,basic.9y,unknown,no,telephone,jun,164
36,admin.,single,basic.6y,no,yes,telephone,may,125
33,blue-collar,married,basic.9y,unknown,no,telephone,jun,321
36,services,married,high.school,unknown,no,telephone,jun,49
61,self-employed,divorced,university.degree,no,no,cellular,mar,102
40,admin.,married,basic.9y,no,no,telephone,may,224
31,technician,single,professional.course,no,no,telephone,jul,141
41,blue-collar,married,basic.4y,no,yes,telephone,jun,132
39,services,married,high.school,no,yes,cellular,may,22
39,admin.,divorced,high.school,no,no,cellular,jul,121
38,management,married,university.degree,no,yes,cellular,aug,328
47,management,married,high.school,no,no,cellular,apr,245
24,admin.,single,high.school,no,yes,telephone,jul,722
45,blue-collar,divorced,high.school,unknown,no,cellular,jul,323
34,technician,divorced,unknown,no,no,cellular,jul,40
51,entrepreneur,married,basic.9y,no,yes,telephone,may,142
53,unknown,married,professional.course,no,no,cellular,jun,217
24,technician,single,professional.course,no,yes,cellular,jun,211
24,services,married,high.school,no,no,cellular,may,10
35,technician,married,university.degree,unknown,yes,cellular,nov,108
71,retired,single,university.degree,no,yes,cellular,oct,167
27,admin.,single,university.degree,no,yes,cellular,apr,98
32,services,married,high.school,no,no,cellular,oct,217
56,technician,divorced,university.degree,unknown,no,cellular,jul,13
35,services,single,high.school,no,yes,cellular,may,66
35,technician,single,professional.course,no,yes,cellular,aug,347
38,services,single,basic.9y,no,yes,telephone,may,193
52,services,single,high.school,no,yes,telephone,jun,43
27,admin.,single,university.degree,unknown,yes,cellular,jul,72
35,student,single,unknown,unknown,no,cellular,jul,103
40,technician,married,professional.course,no,no,telephone,may,26
38,blue-collar,married,high.school,no,yes,cellular,jul,122
32,management,single,university.degree,no,no,cellular,may,162
35,admin.,married,high.school,no,no,cellular,nov,95
28,blue-collar,single,professional.course,no,yes,cellular,jul,611
25,blue-collar,married,basic.4y,no,no,cellular,jul,420
28,admin.,single,university.degree,no,no,cellular,aug,202
31,technician,married,university.degree,no,no,cellular,sep,244
38,technician,married,university.degree,no,no,cellular,jun,539
53,services,married,high.school,unknown,yes,telephone,jun,75
32,technician,divorced,professional.course,no,yes,telephone,may,76
73,retired,married,professional.course,no,yes,cellular,aug,135
34,admin.,single,high.school,no,yes,telephone,may,359
64,housemaid,married,unknown,no,yes,telephone,may,671
41,technician,divorced,university.degree,no,yes,cellular,aug,167
51,blue-collar,married,basic.4y,unknown,no,telephone,jun,781
34,technician,married,university.degree,no,no,cellular,jun,116
50,management,married,unknown,no,yes,telephone,jun,1005
39,retired,single,high.school,no,no,telephone,may,109
34,technician,married,professional.course,no,yes,cellular,mar,93
37,housemaid,divorced,basic.9y,unknown,yes,telephone,may,226
40,admin.,married,high.school,unknown,yes,telephone,jun,85
38,admin.,married,university.degree,no,yes,telephone,jun,197
41,admin.,divorced,university.degree,no,yes,cellular,aug,188
38,admin.,married,university.degree,no,yes,cellular,aug,191
47,technician,divorced,high.school,no,yes,cellular,jul,303
23,blue-collar,single,basic.9y,no,yes,cellular,jul,523
30,blue-collar,single,basic.9y,no,no,telephone,jun,83
49,technician,married,university.degree,no,yes,cellular,nov,91
51,admin.,married,basic.6y,unknown,yes,telephone,may,343
36,technician,single,professional.course,no,yes,cellular,may,225
49,blue-collar,married,basic.6y,no,no,cellular,aug,383
21,student,single,professional.course,no,no,telephone,nov,250
34,unemployed,married,high.school,no,no,cellular,jul,284
45,blue-collar,married,basic.4y,no,yes,cellular,jul,367
54,unemployed,married,basic.9y,no,no,cellular,may,193
34,services,married,high.school,no,no,cellular,may,71
36,blue-collar,married,basic.6y,no,no,cellular,may,193
45,admin.,single,professional.course,no,no,telephone,may,265
37,admin.,married,university.degree,no,no,telephone,nov,274
32,blue-collar,single,basic.9y,no,yes,cellular,nov,75
51,admin.,married,basic.4y,unknown,no,cellular,may,142
35,blue-collar,married,basic.6y,unknown,no,telephone,may,418
36,admin.,single,university.degree,no,yes,telephone,jul,18
32,admin.,divorced,basic.9y,no,yes,cellular,jul,118
34,services,married,high.school,no,no,telephone,may,211
51,technician,married,university.degree,unknown,yes,cellular,jul,65
24,admin.,single,university.degree,no,no,cellular,aug,147
37,services,married,high.school,no,yes,cellular,jul,91
37,blue-collar,married,high.school,no,yes,telephone,jun,90
56,blue-collar,married,basic.4y,unknown,yes,cellular,aug,147
27,admin.,single,high.school,no,yes,telephone,nov,24
59,retired,divorced,basic.9y,unknown,yes,telephone,jun,141
54,retired,married,basic.4y,no,no,cellular,oct,164
34,blue-collar,married,high.school,no,no,cellular,may,144
36,housemaid,married,basic.6y,no,yes,telephone,jun,45
54,blue-collar,married,professional.course,unknown,yes,telephone,may,198
30,admin.,married,high.school,no,yes,telephone,may,434
37,management,married,university.degree,no,yes,cellular,aug,263
46,technician,married,professional.course,no,yes,telephone,may,34
50,services,married,basic.9y,unknown,yes,cellular,aug,113
